FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1StartDate,Season1EndDate,Season1Time,Season2StartDate,Season2EndDate,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1000709,22ND ANNUAL HIGHLANDS BUSINESS PARTNERSHIP FARMERS MARKET,http://www.highlandsnj.com,https://www.facebook.com/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,71 WATERWITCH AVENUE,HIGHLANDS,MONMOUTH,NEW JERSEY,07732,06/25/2016 , 11/05/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,,-73.994358,40.404837,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,07-06-2016 14:37:36
1011881,25TH STREET MARKET - NORTH LOGAN AT THE LIBRARY SUMMER 2016,http://northloganmarket.com,https://www.facebook.com/25th Street Market - North Logan at the Library,,,Instagram: north logan market  (25th Street Market),475 EAST 2500 NORTH,NORTH LOGAN,CACHE,UTAH,84341,05/07/2016 , 10/15/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,,-111.8206049,41.7782437,,Y,N,N,N,N,,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,04-18-2016 10:33:41
1010966,26TH AND ALLEGHENY,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,,26TH STREET AND W ALLEGHENY AVENUE,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19129,06/01/2015 , 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,,-75.1722883,40.0040946,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,03-24-2015 15:17:20
1005299,29TH AND WHARTON FARMERS' MARKET,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,,29TH AND WHARTON STREETS,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19146,06/01/2015 , 11/15/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,,-75.19204,39.9373,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,03-24-2015 14:47:10
1010994,2ND STREET FARMERS' MARKET,http://secondstageAmherst.org,https://www.facebook.com/second stage of AMherst,,,,194 SECOND STREET,AMHERST,AMHERST,VIRGINIA,24521,05/05/2016 , 09/01/2016,Thu: 3:30 PM-6:30 PM;,,,,,,,,-79.048573,37.583311,,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,03-04-2016 13:51:55
1009959,2ND STREET MARKET - FIVE RIVERS METROPARK,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,,600 E. 2ND STREET,DAYTON,MONTGOMERY,OHIO,45402,01/01/2018 , 05/31/2018,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,06/01/2018 , 12/31/2018,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;Sun: 11:00 AM-3:00 PM;,,,,,-84.181030,39.762593,,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,07-26-2018 16:26:56
1004950,3 FRENCH HENS FRENCH COUNTRY MARKET,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/3-French-Hens-French-Country-Market/422352511143508,,,,123 W. ILLINOIS AVE.,MORRIS,GRUNDY,ILLINOIS,60450,05/12/2018 , 10/13/2018,Sat: 8:00 AM-2:00 PM;,11/09/2018 , 11/10/2018,Fri: 4:00 PM-10:00 PM;Sat: 10:00 AM-3:00 PM;,,,,,-88.425186,41.356383,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,07-26-2018 16:22:44
1010775,30A FARMERS' MARKET,,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,ROSMARY BEACH TOWN CENTER,ROSEMARY BEACH,WALTON,FLORIDA,32461,01/18/2015 , 01/05/2020,Sun: 9:00 AM-1:00 PM;,,,,,,,,-86.002754,30.279017,,Y,N,N,N,N,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,01-16-2015 18:38:15
1018656,31 & MAIN FARMERS MARKET AT CAMPUS TOWN,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,,,https://www.instagram.com/31mainfarmersmarket ,1928 PENNINGTON ROAD,EWING,MERCER,NEW JERSEY,08618,06/11/2017 , 10/29/2017,Sun: 10:00 AM-2:00 PM;,,,,,,,,-74.783289,40.268253,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,07-12-2017 13:42:22
1005636,32ND STREET/WAVERLY FARMERS MARKET,http://www.32ndstreetmarket.org,https://www.facebook.com/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,E. 32ND & BARCLAY STREET,BALTIMORE,BALTIMORE,MARYLAND,21218,01/01/2013 , 12/31/2013,Sat: 7:00 AM-12:00 PM;,,,,,,,,-76.611,39.3272,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,07-26-2018 16:47:21
1005310,33RD AND DIAMOND FARMERS' MARKET,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,N 33RD AND DIAMOND STREETS,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19121,06/01/2015 , 11/01/2015,Thu: 2:00 PM-6:00 PM;,,,,,,,,-75.187167,39.988802,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,03-24-2015 14:28:1
1018389,38TH & MERIDIAN FARMER'S MARKET,,,,,,3808 N MERIDIAN ST,INDIANAPOLIS,MARION,INDIANA,46208,06/01/2017 , 09/21/2017,Thu: 4:00 PM-6:30 PM;,,,,,,,,-86.1575468,39.8255595,,Y,N,Y,N,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,06-26-2017 8:19:14
1012280,39 NORTH MARKETPLACE,http://www.39northdowntown.com,https://www.facebook.com/39 North,,,,DOWNTOWN SPARKS VICTORIAN AVE,SPARKS,WASHOE,NEVADA,89431,06/09/2016 , 08/18/2016,Thu: 4:00 PM-9:00 PM;,,,,,,,,-119.754962,39.534773,,Y,Y,Y,Y,N,,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,07-06-2016 17:19:49
1011213,441 MINISTRIES FARM STAND,,,,,,441 PARSELLS AVENUE,ROCHESTER,MONROE,NEW YORK,14609,,,Tue: 3:00 PM-7:00 PM;,,,,,,,,-77.5666043,43.1658344,,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,06-08-2015 9:22:25
1010965,4TH AND LEHIGH FARMERS' MARKET,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,N 4TH STREET AND W. LEHIGH AVENUE,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19133,06/01/2015 , 11/22/2015,Tue: 1:00 PM-5:00 PM;,,,,,,,,-75.138654,39.991748,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,03-24-2015 15:11:40
1006234,4TH STREET FARMERS MARKET,http://www.4thstreetfarmersmarket.com,,,,,315 EAST 4TH ST.,LARIMER,,COLORADO,,,,,,,,,,,,-105.073,40.3954,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2011 8:0:0
1006494,52 & SHADELAND AVENUE FARMERS MARKET,,,,,,5200 N. SHADELAND AVENUE,INDIANAPOLIS,,INDIANA,46226,,,,,,,,,,,-86.0476,39.8481,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-01-2009 8:0:0
1005304,52ND AND HAVERFORD FARMERS' MARKET,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,N 52ND STREET AND HAVERFORD AVENUE,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19139,06/01/2015 , 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,,-75.224492,39.965054,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,03-24-2015 14:38:14
1000060,57TH STREET GREENMARKET,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W 57 ST. & 9 AVE,NEW YORK,NEW YORK,NEW YORK,10019,04/20/2013 , 12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,,-73.985839,40.768159,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,07-24-2013 11:6:0
1005306,58TH AND CHESTER FARMERS' MARKET,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,58TH STREET AND CHESTER AVENUE,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19143,06/01/2015 , 11/01/2015,Wed: 2:00 PM-6:00 PM;,,,,,,,,-75.228303,39.935721,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,03-24-2015 14:35:4
1018965,61ST STREET FARMERS MARKET,https://experimentalstation.org/market,https://www.facebook.com/61market,,,Instagram: ,6100 S. BLACKSTONE AVE,CHICAGO,COOK,ILLINOIS,60637,05/12/2018 , 12/15/2018,Sat: 9:00 AM-2:00 PM;,,,,,,,,-87.5905914,41.7840790,,Y,N,N,N,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,02-23-2018 16:18:31
1000061,79TH STREET GREENMARKET,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,COLUMBUS - W 78 & 81 STS.,NEW YORK,NEW YORK,NEW YORK,10024,01/01/2013 , 12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,,,-73.9757,40.7818,Other,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,07-24-2013 10:54:51
1000062,82ND STREET GREENMARKET,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,E 82ND ST. - 1ST & YORK AVE,NEW YORK,NEW YORK,NEW YORK,10028,01/01/2013 , 12/31/2013,Sat: 9:00 AM-2:30 PM;,,,,,,,,-73.950090,40.773749,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,07-24-2013 10:50:27
1008391,84 WEST FARMERS MARKET (DOTHAN),,,,,,,DOTHAN,HOUSTON,ALABAMA,,06/06/2013 , 08/08/2013,Thu: 3:00 PM-6:00 PM;,,,,,,,,-85.449944,31.232252,,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,03-15-2014 9:29:24
1001961,8TH AVENUE CITY FARMERS MARKET,,,,,,8TH AVE & 2ND ST SE,CEDAR RAPIDS,LINN,IOWA,52401,May , October,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,,,,,,,,-91.6626534,41.9728370,Local government building grounds,Y,Y,N,Y,N,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,04-25-2012 13:17:22
1000063,92ND STREET GREENMARKET,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,1ST AVE - E 92ND & 93 STS.,NEW YORK,NEW YORK,NEW YORK,10128,06/23/2013 , 11/24/2013,Sun: 9:00 AM-4:00 PM;,,,,,,,,-73.946421,40.780931,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,07-24-2013 10:43:59
1000064,97TH STREET GREENMARKET,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W 97 ST. & COLUMBUS,NEW YORK,NEW YORK,NEW YORK,10025,01/01/2013 , 12/31/2013,Fri: 8:00 AM-2:00 PM;,,,,,,,,-73.9670120,40.7935600,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,07-24-2013 10:39:55
1011989,9TH AND GRAND FARMERS MARKET,http://Farmtoforkks.com,,,,,304 WEST GRAND AVENUE,SALINA,SALINE,KANSAS,67401,05/10/2016 , 09/27/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,,-97.6117504,38.8528359,,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,05-28-2016 15:39:24
1000986,9TH WEST FARMERS MARKET/PEOPLE'S MARKET,http://www.9thwestfarmersmarket.org,https://www.facebook.com/9thwestfarmersmarket,,,,1060 SOUTH 900 WEST,SALT LAKE CITY,SALT LAKE,UTAH,84110,05/12/2013 , 10/20/2013,Sun: 9:00 AM-2:00 PM;,06/26/2016 , 08/01/2016,,,,,,-111.9195223,40.7470177,,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,06-28-2016 1:5:51
